MessageID,TicketID,Side,Message,Date
1,1,ADMIN,Suspendisse accumsan tortor quis turpis. Sed ante.,2022-06-25 03:15:42
2,2,CLIENT,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",2021-10-12 07:12:31
3,3,ADMIN,Proin eu mi.,2021-07-12 11:07:44
4,4,ADMIN,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2022-03-31 02:02:02
5,5,ADMIN,Proin eu mi. Nulla ac enim.,2021-10-07 17:22:45
6,6,CLIENT,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2022-03-30 11:32:17
7,7,CLIENT,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",2022-03-07 07:50:33
8,8,ADMIN,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2022-02-22 09:27:21
9,9,ADMIN,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",2021-06-23 08:29:22
10,10,ADMIN,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",2021-05-20 10:32:31
11,11,ADMIN,Duis consequat dui nec nisi volutpat eleifend.,2021-06-12 18:10:05
